	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi
ID																																																													
ART_003_EAI(pY)AAPFAKKKXC		0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0.885245919
CDK2_8_20		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK7_157_169		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRK_214_226		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNB1_79_91		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCX_67_79		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR1_506_518		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYR1A_212_224		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYR1A_312_324		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGFR_1062_1074		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
