Feature,GNUR 1,GNUR 2,GNUR 3,GNUR 4,GNUR 5,CTRL 1,CTRL 2,CTRL 3,CTRL 5,CTRL 6
PC 20:0/16:1,609288.68,279741.77,99478.26,197408.58,1403710.35,165779.5,126411.66,32312.21,79328.72,92197.38
PC 20:0/18:1,3269466.51,1815518.13,656975.06,1633140.22,8480310.94,1034739.95,904361.59,625675.86,525665,656925.45
PC 20:0/18:3,138310.89,123168.89,39127.1,212836.76,502129.4,44358.76,31777.29,22307.74,26241,22532.21
PC 20:0/20:1,120292.12,87680.76,22981.31,88527.12,602564.99,37557.07,27551.66,22807.75,24457.87,31751.22
PC 20:0/20:2,166489.78,80309.03,39079.04,90745.04,280364.65,56426.29,25709.67,31403.77,16394.56,27469.67
PC 20:0/20:3,1064717.52,456681.24,267204.38,530703.66,432993.08,479950.5,150189.09,126097.18,251954.62,416436.62
PC 20:0/20:4,4249913.52,2376915.35,1229057.03,3540406.23,2074734.78,776035.43,1501915.36,1191389.38,374224.55,508882.02
PC 20:0/20:5,157837.26,119451.49,46834.95,142515.58,337840.96,26712.24,19266.09,28559.54,29856.96,41984.29
PC 20:0/22:4,63147.58,61805.03,29751.64,59507.65,133501.27,38827.95,43188.4,31195.52,19707.71,17362.85
PC 20:0/22:5,214947.2,87233.66,71385.49,100736.3,104054.26,28419.08,59426.01,71399.05,36010.17,36586.51
PC 20:0/22:6,845500.53,560761.03,285344.76,847009.72,459215.79,168175.6,229138.88,294077.63,101650.37,99981.99
LPE 14:0,325115.1,212468.23,175710.8,302935.33,223213.08,187103.72,95135.13,266721.77,226101.3,126358.73
LPE 16:0,1124573513,869582822.4,627069223.9,1266137535,1543223116,2079965784,803240441.2,1361891926,1723170512,1145619809
LPE 16:1,77192128.73,27810842.15,34246751.7,51411918.84,30271598.77,85340317.11,21085956.89,35251230.58,69818465.41,53862775.09
LPE 18:0,1410823062,1208161911,832784679.1,1733219180,1804497072,3010366754,1357549396,2138483102,2687296782,1759613025
LPE 18:1,916254418.4,436678161,488917482,818511302.6,640596385.1,1790535782,580590002,790375809.3,1551916125,1238044770
LPE 18:2,425655420,196762822.8,269056861,571232388.5,185587168.5,286948110.3,92971032.69,245407291.6,353705781.6,172367255.4
LPE 18:3,8938855.65,3789950.31,5303842.54,12074366.14,3520050.2,2734898.97,1327410.98,4003939.31,2900434.8,1633509.76
LPE 20:0,37039630.44,27271641.52,27178648.75,53066594.58,33354273.38,11655688.73,5836712.23,8080436.33,12481196.37,6299851.47
LPE 20:1,80375151.33,34380581.39,45460124.15,73044465.28,37443151.14,78414586.99,22512011.71,43401151.57,74754604.09,46765859.73
LPE 20:2,39324700.87,16841152.72,22682301.94,32758242.04,11714167.7,30859295.16,13647729.88,22701436.65,31466915.15,22168321.51
LPE 20:3,86317384.79,43800344.19,61539161.25,84377337.67,19193773.38,100392074,32981659.51,72742803.18,123412136.5,74306937.11
LPE 20:4,321031866.6,205515828.7,246873445.9,462388702.5,88721704.72,257058641.6,270206560.8,563284781.8,317871173.8,185377403
LPE 20:5,2723335.12,1457866.43,2220440.59,3623239.01,909209.63,1280488.73,512580.91,945121.19,1456738.19,886378.06
LPE 22:4,70851637.22,67270070.36,90889875.56,133739910.5,21417517.1,94432782.96,179644446.4,297760389,131020499.7,76102221.91
LPE 22:5,35544444.76,30058572.25,42906519.86,63708980.75,12189860.8,24517321.8,30780091.7,64470408.35,32910929.08,16912196.87
LPE 22:6,49812836.38,27420494.14,39199745.36,74551145.73,11441753.71,32320667.87,27390859.07,80004778.48,42754905.21,20991526.47
PE 14:0/14:0,27881.6,32214.88,16207.75,20099.37,63246.68,97166.26,40014.3,28894.88,34167.26,17741.45
PE 14:0/16:1,357500.02,104649.32,113882.75,93246.64,166692.44,192808.72,79387.34,112581.47,107896.93,110722.62
PE 14:0/18:1,1364005.39,798596.08,1032357.4,1465605.36,1930114.86,2425461.38,1480837.42,1783723.13,1269796.38,1384089.25
PE 14:0/18:2,2038871.61,1131249.06,1946853.36,2981021.05,2037015.58,3568624.34,1605062.1,1842763.15,1374934.95,1851312.13
PE 14:0/18:3,32650.73,30501.24,48468.4,61031.06,47937.39,57187.12,34329.37,33284.98,23639.84,16759.04
PE 14:0/20:1,75780.39,44462.76,36330.55,53214.82,145776.99,60856.11,22969.12,31583.49,40078.66,17917.96
PE 14:0/20:2,62595.76,24014.56,49090.11,53471.33,66762.64,126696.78,35970.22,30471.24,68066.69,144105.53
PE 14:0/20:3,134438.47,103228.06,86254.79,91838.15,37413.66,835516.77,249537,153432.65,383167.57,594530.78
PE 14:0/20:4,269850.14,166215.46,246302.26,475714.38,60718.84,396895.14,748902.68,690877.35,268684.81,286775.39
PE 14:0/20:5,27853.15,18635.55,16550.86,20893.6,21924.8,38593.06,11655.17,16355.63,17181.81,15856.33
