	Exposure time	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0
	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi
ID
MYBB_513_525		0.0	1.0	-2.0	-1.0	-3.0	0.0	-1.0	-1.0	0.0	-1.0	-1.0	0.0	-3.0	-1.0	-2.0	0.0	-1.0	1.0	0.0	-1.0	1.0	0.0	1.0	-4.0	1.0	1.0	-3.0	-2.0	-1.0	-3.0	1.0	-2.0	0.0	-2.0	-3.0	0.0	-1.0	0.0	-2.0	1.0	1.0	-3.0	-1.0	-1.0	-6.0	0.0	0.0	-2.0	0.0	-4.0	1.0	0.0	-1.0	-2.0	-8.0	-1.0	1.0	0.0	-1.0	-3.0
PLEK_106_118		75.0	154.0	381.0	781.0	1522.0	77.0	155.0	392.0	793.0	1569.0	22.0	45.0	111.0	220.0	454.0	21.0	43.0	110.0	229.0	459.0	76.0	148.0	382.0	758.0	1512.0	76.0	156.0	391.0	780.0	1598.0	22.0	45.0	118.0	241.0	476.0	25.0	50.0	131.0	263.0	527.0	60.0	118.0	308.0	624.0	1246.0	64.0	128.0	328.0	643.0	1267.0	21.0	39.0	96.0	198.0	389.0	22.0	47.0	123.0	244.0	497.0
RBL2_632_644		1.0	1.0	-1.0	-1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	-2.0	0.0	0.0	0.0	1.0	2.0	-1.0	0.0	1.0	0.0	-4.0	1.0	2.0	0.0	-2.0	-2.0	2.0	1.0	-2.0	0.0	-1.0	-3.0	0.0	1.0	1.0	-2.0	0.0	0.0	-1.0	-1.0	-3.0	-1.0	0.0	-1.0	3.0	-1.0	-3.0	0.0	0.0	1.0	-1.0	2.0	-2.0	-1.0	-2.0	0.0	-1.0
VIGLN_289_301		-1.0	-1.0	2.0	-2.0	0.0	0.0	-1.0	-2.0	-5.0	-3.0	0.0	0.0	2.0	-1.0	-2.0	0.0	1.0	3.0	-1.0	1.0	-1.0	1.0	-3.0	3.0	-8.0	1.0	-3.0	-1.0	-4.0	-11.0	0.0	-2.0	-3.0	-4.0	-5.0	-1.0	-1.0	-1.0	0.0	0.0	-1.0	0.0	-3.0	-4.0	3.0	-1.0	1.0	-2.0	1.0	-3.0	1.0	-1.0	-1.0	-1.0	-4.0	0.0	1.0	-1.0	1.0	-2.0
GRIK2_708_720		452.0	900.0	2243.0	3740.0	3336.0	421.0	843.0	2110.0	3750.0	3402.0	55.0	106.0	285.0	577.0	1144.0	52.0	105.0	270.0	541.0	1096.0	436.0	876.0	2188.0	3735.0	3420.0	382.0	774.0	1912.0	3793.0	3446.0	57.0	117.0	288.0	579.0	1165.0	47.0	100.0	249.0	493.0	998.0	410.0	807.0	2042.0	3780.0	3447.0	335.0	671.0	1713.0	3425.0	3551.0	50.0	98.0	253.0	500.0	1017.0	42.0	90.0	228.0	458.0	911.0
RADI_559_569		-3.0	-2.0	-16.0	-38.0	-96.0	-1.0	-8.0	-15.0	-44.0	-81.0	-1.0	0.0	0.0	-3.0	-6.0	0.0	-1.0	-2.0	-2.0	-4.0	-4.0	-6.0	-18.0	-43.0	-93.0	0.0	-7.0	-15.0	-26.0	-54.0	1.0	-1.0	0.0	-2.0	-2.0	1.0	2.0	-1.0	-1.0	-1.0	-3.0	-5.0	-10.0	-33.0	-63.0	-3.0	-4.0	-16.0	-31.0	-64.0	0.0	1.0	0.0	-1.0	-4.0	-1.0	0.0	1.0	0.0	1.0
ACM1_421_433		1.0	-1.0	5.0	5.0	29.0	1.0	2.0	1.0	11.0	30.0	2.0	2.0	2.0	12.0	22.0	1.0	1.0	6.0	15.0	25.0	-1.0	1.0	4.0	7.0	25.0	-1.0	0.0	1.0	12.0	18.0	1.0	3.0	3.0	13.0	32.0	1.0	0.0	6.0	18.0	36.0	0.0	0.0	3.0	8.0	17.0	-1.0	1.0	2.0	9.0	19.0	-1.0	0.0	5.0	10.0	27.0	-1.0	0.0	4.0	17.0	15.0
ATM_1972_1984		0.0	1.0	-2.0	-6.0	-7.0	0.0	-2.0	-1.0	-2.0	-2.0	0.0	-1.0	-1.0	-4.0	2.0	-1.0	1.0	-1.0	-2.0	-1.0	0.0	-2.0	1.0	-1.0	-3.0	1.0	1.0	-1.0	-2.0	2.0	1.0	1.0	-1.0	1.0	0.0	0.0	-2.0	0.0	-4.0	0.0	-1.0	1.0	-1.0	-1.0	-5.0	1.0	-1.0	-1.0	2.0	-6.0	0.0	0.0	-2.0	-2.0	-6.0	-1.0	-2.0	-1.0	-4.0	-4.0
CDN1B_151_163		-2.0	1.0	-2.0	-1.0	-7.0	1.0	-1.0	-1.0	-1.0	-1.0	1.0	-1.0	-3.0	2.0	2.0	0.0	1.0	0.0	-1.0	2.0	-1.0	-2.0	1.0	-2.0	-3.0	0.0	-1.0	-2.0	-5.0	-3.0	0.0	-1.0	0.0	-2.0	-4.0	0.0	1.0	0.0	-5.0	-1.0	0.0	0.0	-1.0	-5.0	-5.0	-2.0	-2.0	-1.0	0.0	-3.0	0.0	-1.0	1.0	0.0	-4.0	2.0	-1.0	-1.0	-4.0	2.0
FOXO3_25_37		3.0	9.0	15.0	33.0	72.0	2.0	6.0	15.0	33.0	67.0	4.0	9.0	25.0	52.0	91.0	4.0	11.0	24.0	47.0	104.0	2.0	8.0	18.0	36.0	78.0	2.0	5.0	12.0	33.0	64.0	4.0	10.0	24.0	50.0	102.0	3.0	11.0	21.0	45.0	90.0	0.0	7.0	14.0	25.0	60.0	3.0	5.0	13.0	26.0	49.0	5.0	7.0	21.0	42.0	84.0	3.0	6.0	20.0	35.0	77.0
